Base,Latitude,Longitude,AFSC
SCOTT,38.54528,-89.83528,"['14F1', '15A1', '15W1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '63A1 - USAF', '64P1', '65F1', '71S1']"
SEYMOUR JOHNSON,35.33944,-77.96056,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
SHAW,33.97306,-80.47278,"['15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
SHEPPARD,33.98889,-98.49194,"['13H1', '15W1', '35P1', '38F1', '64P1', '65F1', '71S1', '92T0E']"
SPANGDAHLEM,49.97583,6.69722,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '64P1', '65F1']"
TINKER,35.41472,-97.38667,"['13M1', '15A1', '21A1', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
TRAVIS,38.26278,-121.9275,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
TUCSON INTL,32.112865,-110.939506,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF']"
TYNDALL,30.07861,-85.57639,"['15A1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '92T2']"
VANCE,36.33944,-97.91722,"['13H1', '15W1', '35P1', '64P1', '65F1', '92T0']"
VANDENBERG,34.7325,-120.56806,"['13N1', '13S1 - USSF', '21M1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF', '64P1', '65F1']"
WHITE SAND MSL RG,32.937172,-106.4996,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF']"
WHITEMAN,38.73028,-93.54806,"['15A1', '15W1', '21A1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1C - USAF', '62E1E - USAF', '64P1', '65F1', '71S1']"
WRIGHT PATTERSON,39.82306,-84.04944,"['13H1', '13M1', '14F1', '15A1', '38F1', '61C1', '61D1', '62E1A - USAF', '62E1A - USSF', '62E1B - USAF', '62E1B - USSF', '62E1C - USAF', '62E1E - USAF', '62E1E - USSF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
YOKOTA,35.74861,139.34861,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '62E1C - USAF', '62E1E - USAF', '64P1', '65F1']"
