13H1,13M1,13N1,13S1 - USSF,14F1,14N1 - USAF,14N1 - USSF,15A1,15W1,17D1 - USAF,17D1 - USSF,19Z1A,19Z1B,19Z1C,21A1,21M1,21R1,31P1,32E1A,32E1C,32E1E,32E1F,32E1G,32E1J,35P1,38F1,61C1,61D1,62E1A - USAF,62E1A - USSF,62E1B - USAF,62E1B - USSF,62E1C - USAF,62E1C - USSF,62E1E - USAF,62E1E - USSF,62E1G - USAF,62E1G - USSF,62E1H - USAF,62E1H - USSF,62E1I - USAF,62E1I - USSF,63A1 - USAF,63A1 - USSF,64P1,65F1,71S1,92T0,92T0E,92T0H,92T1,92T2,92T3
,,,,,,,,WHITEMAN ,,,,,,KIRTLAND,MISAWA,JB PRL HBR-HICKAM,,JB CHARLESTON,JB CHARLESTON,JB CHARLESTON,JB CHARLESTON,JB CHARLESTON,JB CHARLESTON,JBSA LACKLAND,JBMDL MCGUIRE,,,POWAY,,POWAY,,ROBINS,,ROBINS,,TUCSON INTL,,TINKER,,TUCSON INTL,,SCOTT,,HURLBURT FIELD,HILL,PETERSON,,,,,,
,,,,,,,,,,,,,,KUNSAN,MOODY,JBMDL MCGUIRE ,,JB ELMENDORF-RICH,JB ELMENDORF-RICH,JB ELMENDORF-RICH,JB ELMENDORF-RICH,JB ELMENDORF-RICH,JB ELMENDORF-RICH,JBSA RANDOLPH,JBSA LACKLAND,,,ROBINS,,ROBINS,,ROME LAB NY,,ROME LAB NY,,TYNDALL,,TUCSON INTL,,TYNDALL,,TINKER,,INCIRLIK,HOLLOMAN,ROBINS,,,,,,
,,,,,,,,,,,,,,LAKENHEATH,MOUNTAIN HOME,JBSA LACKLAND,,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,KIRTLAND,JBSA RANDOLPH,,,TINKER,,TINKER,,TINKER,,SAN ANTONIO,,WHITE SAND MSL RG,,TYNDALL,,WHITE SAND MSL RG,,TYNDALL,,JB ANACOSTIA BOLLING,HURLBURT FIELD,SCOTT ,,,,,,
,,,,,,,,,,,,,,LITTLE ROCK,NELLIS,KADENA,,JB LEWIS-MCCHORD,JB LEWIS-MCCHORD,JB LEWIS-MCCHORD,JB LEWIS-MCCHORD,JB LEWIS-MCCHORD,JB LEWIS-MCCHORD,LITTLE ROCK,KADENA,,,TUCSON INTL,,TUCSON INTL,,TUCSON INTL,,TINKER,,WRIGHT PATTERSON,,WHITE SAND MSL RG,,WRIGHT PATTERSON,,WHITE SAND MSL RG,,JB CHARLESTON,JB ANACOSTIA BOLLING,SHAW,,,,,,
,,,,,,,,,,,,,,LUKE,RAMSTEIN,KEESLER,,JB PRL HBR-HICKAM,JB PRL HBR-HICKAM,JB PRL HBR-HICKAM,JB PRL HBR-HICKAM,JB PRL HBR-HICKAM,JB PRL HBR-HICKAM,LUKE,KEESLER,,,TYNDALL,,TYNDALL,,TYNDALL,,TUCSON INTL,,,,WRIGHT PATTERSON,,,,WRIGHT PATTERSON,,JB ELMENDORF-RICH,JB CHARLESTON,SHEPPARD,,,,,,
,,,,,,,,,,,,,,MACDILL,SEYMOUR JOHNSON,KIRTLAND,,JBMDL MCGUIRE ,JBMDL MCGUIRE ,JBMDL MCGUIRE ,JBMDL MCGUIRE ,JBMDL MCGUIRE ,JBMDL MCGUIRE ,MACDILL,KIRTLAND,,,WHITE SAND MSL RG,,WHITE SAND MSL RG,,WHITE SAND MSL RG,,TYNDALL,,,,,,,,,,JB LANGLEY-EUSTIS,JB ELMENDORF-RICH,TINKER,,,,,,
,,,,,,,,,,,,,,MCCONNELL,SHAW,LAKENHEATH,,KADENA,KADENA,KADENA,KADENA,KADENA,KADENA,MALMSTROM,LAKENHEATH,,,WRIGHT PATTERSON,,WRIGHT PATTERSON,,WHITEMAN,,WHITE SAND MSL RG,,,,,,,,,,JB PRL HBR-HICKAM,JB LANGLEY-EUSTIS,TRAVIS,,,,,,
,,,,,,,,,,,,,,MILDENHALL,SPANGDAHLEM,LITTLE ROCK,,LAKENHEATH,LAKENHEATH,LAKENHEATH,LAKENHEATH,LAKENHEATH,LAKENHEATH,MCCONNELL,LAUGHLIN,,,,,,,WRIGHT PATTERSON,,WHITEMAN,,,,,,,,,,JBMDL MCGUIRE,JB LEWIS-MCCHORD,WHITEMAN,,,,,,
,,,,,,,,,,,,,,MINOT,TYNDALL,LUKE,,LAUGHLIN,LAUGHLIN,LAUGHLIN,LAUGHLIN,LAUGHLIN,LAUGHLIN,MINOT,LITTLE ROCK,,,,,,,YOKOTA,,WRIGHT PATTERSON,,,,,,,,,,JBSA LACKLAND,JB PRL HBR-HICKAM,WRIGHT-PATTERSON,,,,,,
,,,,,,,,,,,,,,MISAWA,VANDENBERG,MACDILL,,LITTLE ROCK ,LITTLE ROCK ,LITTLE ROCK ,LITTLE ROCK ,LITTLE ROCK ,LITTLE ROCK ,MOODY,LUKE,,,,,,,,,YOKOTA,,,,,,,,,,KADENA,JBMDL MCGUIRE,,,,,,,
,,,,,,,,,,,,,,MOODY,WHITEMAN,MALMSTROM,,LUKE,LUKE,LUKE,LUKE,LUKE,LUKE,MOUNTAIN HOME,MACDILL,,,,,,,,,,,,,,,,,,,KEESLER,JBSA FT SAM HOUSTON,,,,,,,
,,,,,,,,,,,,,,MOUNTAIN HOME,,MCCONNELL,,MALMSTROM,MALMSTROM,MALMSTROM,MALMSTROM,MALMSTROM,MALMSTROM,NELLIS,MALMSTROM,,,,,,,,,,,,,,,,,,,KIRTLAND,JBSA LACKLAND,,,,,,,
